time,density,diameter,node_num,edge_num,knowledge_num,acc,auc,train_time
2021-01-01,0.0063536317090549,5,2029,26144,36002,0.697,0.746,111.72872972488403
2021-01-08 00:00:00,0.0062966855065466,5,2056,26604,36564,0.713,0.763,113.27999591827393
2021-01-15 00:00:00,0.0061210399243716,5,2152,28334,38468,0.72,0.779,122.99393820762634
2021-01-22 00:00:00,0.0061345747704461,5,2196,29570,40164,0.7,0.76,105.20192098617554
2021-01-29 00:00:00,0.0061073276686122,5,2232,30412,41216,0.749,0.806,119.51326894760132
2021-02-05 00:00:00,0.0061649128007509,5,2250,31196,42214,0.712,0.773,170.63092017173767
2021-02-12 00:00:00,0.0061530644491675,5,2273,31776,42884,0.749,0.793,124.2033360004425
2021-02-19 00:00:00,0.0061757212038719,5,2310,32940,44166,0.738,0.805,136.4411940574646
2021-02-26 00:00:00,0.0061446958194821,5,2329,33316,44688,0.752,0.803,127.32312202453612
2021-03-05 00:00:00,0.0061802193262925,5,2354,34232,45900,0.726,0.789,114.92396092414856
2021-03-12 00:00:00,0.0063196029248599,5,2383,35872,47664,0.723,0.781,135.5969536304474
2021-03-19 00:00:00,0.0063548682002547,5,2406,36772,48742,0.705,0.763,136.1855309009552
2021-03-26 00:00:00,0.0063061093562926,5,2424,37038,49160,0.71,0.755,145.4722282886505
2021-04-02 00:00:00,0.0062907890409924,5,2458,37992,50356,0.728,0.795,117.88405704498292
2021-04-09 00:00:00,0.006233539311154,5,2505,39100,51680,0.714,0.776,126.6433801651001
2021-04-16 00:00:00,0.0062694437602065,5,2565,41232,54060,0.729,0.781,150.9623281955719
2021-04-23 00:00:00,0.0062316268890663,5,2601,42142,55088,0.722,0.775,213.8428931236267
2021-04-30 00:00:00,0.0062748457182902,5,2648,43982,57110,0.725,0.784,345.30070090293884
2021-05-07 00:00:00,0.0062402808366007,5,2664,44270,57506,0.73,0.79,359.9663259983063
2021-05-14 00:00:00,0.006187712827515,5,2685,44592,57958,0.732,0.791,387.22349286079407
2021-05-21 00:00:00,0.006087480199527,5,2731,45386,59008,0.71,0.768,458.37445306777954
2021-05-28 00:00:00,0.0060501255357459,5,2752,45804,59528,0.717,0.768,382.96533203125
2021-06-04 00:00:00,0.0059902899789774,5,2784,46412,60232,0.737,0.801,391.93956899642944
2021-06-11 00:00:00,0.0059779002705047,5,2800,46850,60752,0.743,0.812,494.0521206855774
2021-06-18 00:00:00,0.0059129334025852,5,2819,46972,60990,0.753,0.822,440.8839828968048
2021-06-25 00:00:00,0.0058568033775034,5,2840,47222,61332,0.751,0.817,508.977194070816
2021-07-02 00:00:00,0.0057999200869524,5,2863,47524,61772,0.757,0.829,558.0366790294647
2021-07-09 00:00:00,0.0057895295434371,5,2880,48004,62386,0.746,0.811,571.7039229869843
2021-07-16 00:00:00,0.0057858173057705,5,2917,49214,63744,0.75,0.823,587.4897100925446
2021-07-23 00:00:00,0.0057710559348498,5,2937,49764,64354,0.764,0.837,515.3479340076447
2021-07-30 00:00:00,0.005833487499192,5,2996,52344,67128,0.764,0.836,286.60311794281006
2021-08-06 00:00:00,0.0058311954603147,5,3033,53624,68540,0.757,0.832,294.4062020778656
2021-08-13 00:00:00,0.0058291545354446,5,3067,54814,69870,0.749,0.822,306.139741897583
2021-08-20 00:00:00,0.0057426440768556,5,3134,56386,71718,0.754,0.828,347.7188608646393
2021-08-27 00:00:00,0.0057671408466973,5,3164,57716,73180,0.761,0.835,320.9849660396576
2021-09-03 00:00:00,0.0057251488782356,5,3178,57804,73354,0.766,0.843,366.21455907821655
2021-09-10 00:00:00,0.0056941561017874,5,3212,58728,74374,0.767,0.843,388.195907831192
2021-09-17 00:00:00,0.0056445781860536,5,3243,59346,75046,0.766,0.841,447.2495610713959
2021-09-24 00:00:00,0.0056170491488044,5,3264,59824,75570,0.758,0.834,409.324235200882
2021-10-01 00:00:00,0.0056173142446428,5,3288,60710,76550,0.766,0.841,445.4543168544769
2021-10-08 00:00:00,0.0055228323516372,5,3325,61040,76938,0.767,0.844,380.0667140483856
2021-10-15 00:00:00,0.0054305577208145,5,3370,61656,77596,0.771,0.842,341.62243008613586
2021-10-22 00:00:00,0.0053549815091843,5,3410,62250,78218,0.778,0.854,391.5926821231842
2021-10-29 00:00:00,0.0053197827640848,5,3455,63484,79478,0.778,0.851,377.3377420902252
2021-11-05 00:00:00,0.0052683664819212,5,3494,64298,80398,0.778,0.855,494.7305979728699
2021-11-12 00:00:00,0.0052104580310345,5,3521,64578,80708,0.778,0.856,427.490357875824
2021-11-19 00:00:00,0.0051804317026418,5,3550,65268,81440,0.781,0.86,441.2604150772095
2021-11-26 00:00:00,0.0050943989520944,5,3592,65712,81978,0.782,0.858,453.9735441207886
2021-12-03 00:00:00,0.0050551496013233,5,3608,65788,82090,0.782,0.858,438.440110206604
2021-12-10 00:00:00,0.0050515338357311,5,3625,66362,82716,0.785,0.861,450.5289468765259
2021-12-17 00:00:00,0.0050519056030468,5,3669,67988,84440,0.79,0.862,520.5796689987183
2021-12-24 00:00:00,0.0050233308789845,5,3706,68974,85468,0.784,0.862,558.9455828666687
2021-12-31 00:00:00,0.00501758401169763,5,3721,69454,85988,0.787,0.864,693.6730461120605
